Nama Mobil,Mobil,Kategori
Agya,250.000,CITY CAR
Brio,250.000,CITY CAR
Sigra,250.000,CITY CAR
Calya,250.000,CITY CAR
Pick Up L 300,250.000,REGULER / PICK UP
Pick Up Suzuki,250.000,REGULER / PICK UP
Pick Up Grandmax,250.000,REGULER / PICK UP
Blind Van Granmax,250.000,REGULER / PICK UP
L300 Box,250.000,REGULER / PICK UP
CDD Box,250.000,REGULER / PICK UP
Grandmax Box,250.000,REGULER / PICK UP
Ertiga,300.000,REGULER / PICK UP
Avanza,300.000,REGULER / PICK UP
Xenia,300.000,REGULER / PICK UP
Raize,350.000,REGULER / PICK UP
Yaris,350.000,REGULER / PICK UP
All New Avanza,350.000,REGULER / PICK UP
All New Xenia,350.000,REGULER / PICK UP
All New Ertiga,350.000,REGULER / PICK UP
Mobilio,350.000,REGULER / PICK UP
Rush,350.000,REGULER / PICK UP
Terios,350.000,REGULER / PICK UP
City Hatchback,400.000,REGULER / PICK UP
Creta,400.000,REGULER / PICK UP
Wuling,400.000,REGULER / PICK UP
Stargazer,400.000,REGULER / PICK UP
Xpander,400.000,REGULER / PICK UP
Innova Reborn,450.000,PREMIUM / CDE
Elf Short,450.000,MINI BUS
CDD Bak Engkel,550.000,SUV / HIACE / ELF
Innova Zenix,600.000,PREMIUM / CDE
Hiace Commuter,700.000,SUV / HIACE / ELF
CDD Bak Double,700.000,MEDIUM BUS / CDD / FUSO
Fortuner,850.000,SUV / HIACE / ELF
Pajero,900.000,SUV / HIACE / ELF
Voxy,800.000,SUV / HIACE / ELF
Ranger,800.000,SUV / HIACE / ELF
Hilux,800.000,SUV / HIACE / ELF
Triton,800.000,SUV / HIACE / ELF
Elf Long,800.000,SUV / HIACE / ELF
Elf Giga,800.000,SUV / HIACE / ELF
Camry,800.000,SUV / HIACE / ELF
Hiace Premio,800.000,SUV / HIACE / ELF
Medium Bus,1.200.000,MEDIUM BUS / CDD / FUSO
Hiace Commuter VVIP,1.200.000,HIGHT PREMIUM
Vellfire,1.300.000,HIGHT PREMIUM
Alphard Transformer,1.300.000,HIGHT PREMIUM
Truk Bak,1.500.000,BIG BUS / TRONTON / LUXURY
Truk Box,1.500.000,BIG BUS / TRONTON / LUXURY
Trailer Bak,1.500.000,BIG BUS / TRONTON / LUXURY
Trailer Box,1.500.000,BIG BUS / TRONTON / LUXURY
Alphard Facelift,1.500.000,HIGHT PREMIUM
Palisade,1.500.000,HIGHT PREMIUM
Mercy,1.500.000,HIGHT PREMIUM
BMW,1.500.000,HIGHT PREMIUM
Big Bus,1.500.000,BIG BUS / TRONTON / LUXURY
Hiace Premio VVIP,1.500.000,HIGHT PREMIUM
Mercy Sprinter,2.500.000,HIGHT PREMIUM
Medium Bus VIP Luxury,2.500.000,HIGHT PREMIUM
Big Bus VIP Luxury,3.500.000,BIG BUS / TRONTON / LUXURY
New Alphard Hybrid,3.500.000,HIGHT PREMIUM
Land Cruiser,7.500.000,BIG BUS / TRONTON / LUXURY